Time (s),Setpoint,PID Output,GA-Tuned PID Output,Neuro-Fuzzy Output
0.9469469469469469,1.0,1.0059621305345963,0.9921398210658049,0.8312308112621947
0.948948948948949,1.0,1.0059343965087195,0.9921432440206919,0.8319990449828374
0.950950950950951,1.0,1.0059067369142656,0.9921466835151647,0.8327642112253251
0.9529529529529529,1.0,1.005879152352129,0.9921501395050744,0.8335263221394636
0.954954954954955,1.0,1.0058516434076978,0.9921536119463126,0.8342853898288871
0.9569569569569569,1.0,1.0058242106510804,0.9921571007948116,0.8350414263511953
0.958958958958959,1.0,1.0057968546373317,0.9921606060065453,0.8357944437180898
0.960960960960961,1.0,1.0057695759066758,0.9921641275375283,0.8365444538955106
0.9629629629629629,1.0,1.0057423749847245,0.9921676653438161,0.8372914688037755
0.964964964964965,1.0,1.0057152523826942,0.9921712193815058,0.8380355003177159
0.9669669669669669,1.0,1.005688208597621,0.9921747896067354,0.8387765602668165
0.968968968968969,1.0,1.0056612441125707,0.9921783759756843,0.8395146604353529
0.970970970970971,1.0,1.0056343593968473,0.9921819784445727,0.8402498125625316
0.9729729729729729,1.0,1.0056075549061998,0.9921855969696631,0.8409820283426279
0.974974974974975,1.0,1.0055808310830248,0.9921892315072587,0.8417113194251261
0.9769769769769769,1.0,1.0055541883565668,0.9921928820137037,0.8424376974148586
0.978978978978979,1.0,1.005527627143117,0.992196548445385,0.8431611738721462
0.980980980980981,1.0,1.0055011478462088,0.9922002307587301,0.843881760312938
0.9829829829829829,1.0,1.0054747508568098,0.9922039289102083,0.8445994682089516
0.984984984984985,1.0,1.0054484365535135,0.9922076428563302,0.8453143089878132
0.986986986986987,1.0,1.0054222053027264,0.9922113725536488,0.8460262940331991
0.988988988988989,1.0,1.005396057458855,0.9922151179587582,0.8467354346849758
0.990990990990991,1.0,1.005369993364487,0.9922188790282944,0.8474417422393408
0.992992992992993,1.0,1.0053440133505742,0.9922226557189351,0.8481452279489635
0.994994994994995,1.0,1.0053181177366102,0.9922264479874001,0.8488459030231273
0.996996996996997,1.0,1.0052923068308062,0.9922302557904509,0.8495437786278698
0.998998998998999,1.0,1.005266580930266,0.9922340790848909,0.850238865886124
1.001001001001001,1.0,1.0052409403211575,0.9922379178275654,0.8509311758778602
1.003003003003003,1.0,1.005215385278881,0.9922417719753619,0.851620719640227
1.005005005005005,1.0,1.0051899160682383,0.9922456414852101,0.8523075081676935
1.007007007007007,1.0,1.0051645329435963,0.9922495263140809,0.8529915524121893
1.009009009009009,1.0,1.0051392361490519,0.9922534264189887,0.853672863283247
1.011011011011011,1.0,1.00511402591859,0.9922573417569889,0.8543514516481437
1.013013013013013,1.0,1.0050889024762457,0.9922612722851802,0.8550273283320422
1.015015015015015,1.0,1.0050638660362583,0.992265217960702,0.8557005041181323
1.017017017017017,1.0,1.0050389168032274,0.9922691787407378,0.8563709897477721
1.019019019019019,1.0,1.005014054972265,0.9922731545825123,0.85703879592063
1.021021021021021,1.0,1.0049892807291465,0.992277145443293,0.8577039332948255
1.023023023023023,1.0,1.0049645942504595,0.9922811512803895,0.8583664124870708
1.025025025025025,1.0,1.0049399957037495,0.9922851720511543,0.8590262440728114
1.027027027027027,1.0,1.0049154852476667,0.9922892077129823,0.859683438586368
1.029029029029029,1.0,1.0048910630321073,0.9922932582233109,0.8603380065210767
1.031031031031031,1.0,1.004866729198355,0.9922973235396197,0.8609899583294309
1.033033033033033,1.0,1.0048424838792211,0.9923014036194316,0.861639304423221
1.035035035035035,1.0,1.0048183271991802,0.9923054984203121,0.8622860551736758
1.037037037037037,1.0,1.0047942592745074,0.9923096078998688,0.8629302209116033
1.039039039039039,1.0,1.0047702802134113,0.9923137320157527,0.8635718119275302
1.0410410410410411,1.0,1.0047463901161662,0.9923178707256571,0.8642108384718431
1.043043043043043,1.0,1.0047225890752423,0.9923220239873188,0.8648473107549285
1.045045045045045,1.0,1.0046988771754344,0.9923261917585167,0.8654812389473122
1.047047047047047,1.0,1.004675254493989,0.9923303739970728,0.8661126331797997
1.049049049049049,1.0,1.0046517211007293,0.9923345706608528,0.866741503543616
1.0510510510510511,1.0,1.0046282770581787,0.9923387817077645,0.8673678600905446
1.053053053053053,1.0,1.0046049224216826,0.9923430070957591,0.867991712833067
1.055055055055055,1.0,1.0045816572395287,0.9923472467828304,0.8686130717445018
1.057057057057057,1.0,1.0045584815530666,0.9923515007270161,0.8692319467591436
1.059059059059059,1.0,1.004535395396823,0.9923557688863966,0.8698483477724023
1.0610610610610611,1.0,1.0045123987986198,0.9923600512190953,0.8704622846409403
1.063063063063063,1.0,1.0044894917796856,0.9923643476832795,0.8710737671828123
1.065065065065065,1.0,1.0044666743547697,0.9923686582371586,0.8716828051776019
1.067067067067067,1.0,1.0044439465322532,0.9923729828389865,0.8722894083665605
1.069069069069069,1.0,1.0044213083142575,0.9923773214470596,0.872893586452745
1.0710710710710711,1.0,1.0043987596967527,0.992381674019718,0.8734953491011537
1.073073073073073,1.0,1.0043763006696653,0.9923860405153451,0.8740947059388654
1.075075075075075,1.0,1.0043539312169818,0.9923904208923682,0.874691666555175
1.077077077077077,1.0,1.004331651316853,0.992394815109257,0.8752862405017304
1.079079079079079,1.0,1.004309460941697,0.9923992231245258,0.8758784372926691
1.0810810810810811,1.0,1.0042873600582989,0.9924036448967319,0.8764682664047538
1.083083083083083,1.0,1.0042653486279123,0.992408080384476,0.877055737277509
1.085085085085085,1.0,1.0042434266063553,0.992412529546403,0.8776408593133553
1.087087087087087,1.0,1.0042215939441095,0.992416992341201,0.8782236418777466
1.089089089089089,1.0,1.0041998505864143,0.9924214687276018,0.8788040942993031
1.0910910910910911,1.0,1.0041781964733616,0.9924259586643813,0.8793822258699474
1.093093093093093,1.0,1.004156631539989,0.9924304621103585,0.8799580458450385
1.095095095095095,1.0,1.0041351557163718,0.9924349790243965,0.8805315634435055
1.097097097097097,1.0,1.0041137689277133,0.9924395093654028,0.8811027878479821
1.0990990990990992,1.0,1.0040924710944337,0.9924440530923273,0.88167172820494
1.1011011011011012,1.0,1.004071262132259,0.9924486101641654,0.8822383936248216
1.103103103103103,1.0,1.0040501419523071,0.9924531805399557,0.8828027931821738
1.105105105105105,1.0,1.0040291104611745,0.9924577641787803,0.8833649359157801
1.107107107107107,1.0,1.0040081675610195,0.9924623610397658,0.8839248308287926
1.1091091091091092,1.0,1.0039873131496473,0.992466971082083,0.884482486888865
1.1111111111111112,1.0,1.0039665471205907,0.9924715942649462,0.8850379130282833
1.1131131131131131,1.0,1.0039458693631913,0.9924762305476145,0.8855911181440972
1.115115115115115,1.0,1.0039252797626808,0.9924808798893899,0.8861421110982524
1.117117117117117,1.0,1.0039047782002586,0.9924855422496199,0.8866909007177194
1.1191191191191192,1.0,1.00388436455317,0.9924902175876953,0.8872374957946254
1.1211211211211212,1.0,1.0038640386947837,0.9924949058630512,0.8877819050863835
1.1231231231231231,1.0,1.0038438004946653,0.9924996070351677,0.8883241373158232
